GameId	Sources	Show Name	PlayerID (this should reflect turn order)	Commander	Partner Commander	Link to Deck	AVG CMC of Deck	Total Cost of Deck in paper 	Land Count in deck)	Deck Type	Sol Ring / Mana Crypt by Turn 3	1 accelerant or Both?	Mana producing Lands at end of the Game	Cards Remaining in Deck	Eliminated by Which Player	Player Eliminated How	Player Won?	Color Identity of Commander
3107	Commander Clash 9/9/16	Commander Clash	1	Phelddagrif	N/A	http://tappedout.net/mtg-decks/phelddagrif-1-commander-clash-9916/?cb=1536708536	3.67	252	39	Control	No Early ManaC/Sol Ring	0	23	30	4	Commander Damage	No	WUG
3107	Commander Clash 9/9/16	Commander Clash	2	Phelddagrif	N/A	http://tappedout.net/mtg-decks/phelddagrif-2-commander-clash-9916/?cb=1536708611	3.71	197	38	Aggro	No Early ManaC/Sol Ring	0	23	23	4	Commander Damage	No	WUG
3107	Commander Clash 9/9/16	Commander Clash	3	Phelddagrif	N/A	http://tappedout.net/mtg-decks/phelddagrif-3-commander-clash-9916/?cb=1536708576	3.34	233	36	Control	No Early ManaC/Sol Ring	0	15	38	2	Combat Damage	No	WUG
3107	Commander Clash 9/9/16	Commander Clash	4	Phelddagrif	N/A	http://tappedout.net/mtg-decks/phelddagrif-4-commander-clash-9916/?cb=1536708596	3.14	367	37	Voltron	No Early ManaC/Sol Ring	0	27	15	0		Yes	WUG
3108	Commander Clash 9/2/16	Commander Clash	1	Brion Stoutarm	N/A	http://tappedout.net/mtg-decks/brion-stoutarm-commander-clash-9216/?cb=1536785290	4.13	338	38	Mid-Range	No Early ManaC/Sol Ring	0	10	78	0		Yes	WR
3108	Commander Clash 9/2/16	Commander Clash	2	Rasputin Dreamweaver	N/A	http://tappedout.net/mtg-decks/rasputin-dreamweaver-commander-clash-9216/?cb=1536785316	4.05	101	38	Control	No Early ManaC/Sol Ring	0	7	79	1	Non-Combat non-combo	No	WU
3108	Commander Clash 9/2/16	Commander Clash	3	Kalemne Disciple of Iroas	N/A	http://tappedout.net/mtg-decks/kalemne-commander-clash-9216/?cb=1536785337	3.89	166	36	Mid-Range	No Early ManaC/Sol Ring	0	7	81	1	Combat Damage	No	WR
3108	Commander Clash 9/2/16	Commander Clash	4	Animar Soul of Elements	N/A	http://tappedout.net/mtg-decks/animar-commander-clash-9216/?cb=1536785355	3.8	127	35	Aggro	Early ManaC/Sol Ring	1	6	77	1	Non-Combat non-combo	No	URG
3109	Commander Clash 8/26/16	Commander Clash	1	Thelon of Havenwood	N/A	http://tappedout.net/mtg-decks/thelon-of-havenwood-commander-clash-82616/?cb=1536785473	3.66	228	36	Aggro	Early ManaC/Sol Ring	1	5	76	2	Non-Combat non-combo	No	BG
3109	Commander Clash 8/26/16	Commander Clash	2	Kaervek the Merciless	N/A	http://tappedout.net/mtg-decks/kaervek-the-merceless-commander-clash-82616/?cb=1536785496	4.06	155	38	Mid-Range	Early ManaC/Sol Ring	1	6	74	4	Non-Combat non-combo	No	BR
3109	Commander Clash 8/26/16	Commander Clash	3	Norin the Wary	N/A	http://tappedout.net/mtg-decks/norin-the-wary-commander-clash-82616/?cb=1536785517	3.63	372	38	Combo	No Early ManaC/Sol Ring	0	9	75	4	Non-Combat non-combo	No	R
3109	Commander Clash 8/26/16	Commander Clash	4	Endrek Sahr Master Breeder	N/A	http://tappedout.net/mtg-decks/endrek-sahr-commander-clash-82616/?cb=1536785540	4.16	186	37	Aggro	No Early ManaC/Sol Ring	0	3	80	0		Yes	B
3110	Commander Clash 8/19/16	Commander Clash	1	Basandra Battle Seraph	N/A	http://tappedout.net/mtg-decks/basandra-commander-clash-81916/?cb=1536785686	3.98	222	38	Aggro	No Early ManaC/Sol Ring	0	14	42	4	Non-Combat non-combo	No	WR
3110	Commander Clash 8/19/16	Commander Clash	2	Oloro Ageless Ascetic	N/A	http://tappedout.net/mtg-decks/oloro-commander-clash-81916/?cb=1536785702	4.13	219	37	Control	No Early ManaC/Sol Ring	0	11	44	4	Non-Combat non-combo	No	WUB
3110	Commander Clash 8/19/16	Commander Clash	3	Riku of Two Reflections	N/A	http://tappedout.net/mtg-decks/riku-of-two-reflections-commander-clash-81916/?cb=1536785723	4.26	199	38	Mid-Range	No Early ManaC/Sol Ring	0	20	38	4	Non-Combat non-combo	No	URG
3110	Commander Clash 8/19/16	Commander Clash	4	Zedruu the Greathearted	N/A	http://tappedout.net/mtg-decks/zedruu-the-greathearted-commander-clash-81916/?cb=1536785744	3.37	212	38	Control	No Early ManaC/Sol Ring	0	16	42	0		Yes	WUR
3111	Commander Clash 8/13/16	Commander Clash	1	Bruna the Fading Light	N/A	http://tappedout.net/mtg-decks/bruna-commander-clash-81316/?cb=1536785862	3.21	572	38	Voltron	No Early ManaC/Sol Ring	0	13	45	4	Commander Damage	No	W
3111	Commander Clash 8/13/16	Commander Clash	2	Gisa and Geralf	N/A	http://tappedout.net/mtg-decks/gisa-and-geralf-commander-clash-81316/?cb=1536785879	3.34	387	38	Control	No Early ManaC/Sol Ring	0	9	0	2	Mill	No	UB
3111	Commander Clash 8/13/16	Commander Clash	3	Ishkanah Grafwidow	N/A	http://tappedout.net/mtg-decks/ishkanah-commander-clash-81316/?cb=1536785899	4.09	264	36	Mid-Range	No Early ManaC/Sol Ring	0	12	52	0		Yes	BG
3111	Commander Clash 8/13/16	Commander Clash	4	Ulrich of the Krallenhorde	N/A	http://tappedout.net/mtg-decks/ulrich-commander-clash-81316/?cb=1536785917	4.1	231	37	Aggro	No Early ManaC/Sol Ring	0	10	72	3	Combat Damage	No	RG
3112	Commander Clash7/31/16	Commander Clash	1	Merieke Ri Berit	N/A	http://tappedout.net/mtg-decks/merieke-commander-clash-73116/?cb=1536787910	3.47	155	38	Control	No Early ManaC/Sol Ring	0	9	64	4	Non-Combat non-combo	No	WUB
3112	Commander Clash7/31/16	Commander Clash	2	Damia Sage of Stone	N/A	http://tappedout.net/mtg-decks/damia-commander-clash-73116/?cb=1536787928	3.92	226	39	Mid-Range	No Early ManaC/Sol Ring	0	20	63	0		Yes	UBG
3112	Commander Clash7/31/16	Commander Clash	3	Doran the Siege Tower	N/A	http://tappedout.net/mtg-decks/doran-commander-clash-73116/?cb=1536787949	3.84	295	39	Mid-Range	No Early ManaC/Sol Ring	0	14	66	2	Combat Damage	No	WBG
3112	Commander Clash7/31/16	Commander Clash	4	Tariel Reckoner of Souls	N/A	http://tappedout.net/mtg-decks/tariel-commander-clash-73116/?cb=1536787991	4.17	167	36	Control	No Early ManaC/Sol Ring	0	13	61	2	Combat Damage	No	WBR
3113	Commander Clash 7/23/16	Commander Clash	1	Liliana Heretical Healer	N/A	http://tappedout.net/mtg-decks/lilliana-commander-clash-72316/?cb=1536788147	3.54	348	37	Control	No Early ManaC/Sol Ring	0	11	44	0		Yes	B
3113	Commander Clash 7/23/16	Commander Clash	2	Jace Vryn's Prodigy	N/A	http://tappedout.net/mtg-decks/jace-commander-clash-72316/?cb=1536788166	3.61	203	39	Control	No Early ManaC/Sol Ring	0	7	37	1	Combat Damage	No	U
3113	Commander Clash 7/23/16	Commander Clash	3	Chandra Fire of Kaladesh	N/A	http://tappedout.net/mtg-decks/chandra-commander-clash-72316/?cb=1536788182	3.76	310	38	Aggro	No Early ManaC/Sol Ring	0	6	59	1	Combat Damage	No	R
3113	Commander Clash 7/23/16	Commander Clash	4	Nissa Vastwood Seer	N/A	http://tappedout.net/mtg-decks/nissa-commander-clash-72316/?cb=1536788207	3.95	413	37	Mid-Range	No Early ManaC/Sol Ring	0	5	65	1	Combat Damage	No	G
3114	Commander Clash 7/15/16	Commander Clash	4	Teferi Temporal Archmage	N/A	N/A			0	Combo	No Early ManaC/Sol Ring	0	4	8	3	Combo	No	U
3114	Commander Clash 7/15/16	Commander Clash	1	Arcum Dagsson	N/A	N/A			0	Combo	No Early ManaC/Sol Ring	0	5	86	3	Combo	No	U
3114	Commander Clash 7/15/16	Commander Clash	2	Yisan the Wanderer Bard	N/A	N/A			0	Combo	No Early ManaC/Sol Ring	0	6	84	3	Combo	No	G
3114	Commander Clash 7/15/16	Commander Clash	3	Narset Enlightened Master	N/A	N/A			0	Combo	No Early ManaC/Sol Ring	0	6	62	0		Yes	WUR
3115	Commander Clash 7/15/16	Commander Clash	1	Teferi Temporal Archmage	N/A	N/A			0	Combo	No Early ManaC/Sol Ring	0	9	79	4	Combo	No	U
3115	Commander Clash 7/15/16	Commander Clash	2	Arcum Dagsson	N/A	N/A			0	Combo	No Early ManaC/Sol Ring	0	6	77	4	Combo	No	U
3115	Commander Clash 7/15/16	Commander Clash	3	Yisan the Wanderer Bard	N/A	N/A			0	Combo	No Early ManaC/Sol Ring	0	6	83	4	Combo	No	G
3115	Commander Clash 7/15/16	Commander Clash	4	Narset Enlightened Master	N/A	N/A			0	Combo	No Early ManaC/Sol Ring	0	3	1	0		Yes	WUR
3116	Commander Clash 7/8/16	Commander Clash	1	Palladia-Mors	N/A	http://tappedout.net/mtg-decks/palladia-mors-commander-clash-7816/?cb=1536788357	3.89	288	38	Mid-Range	No Early ManaC/Sol Ring	0	13	41	3	Combat Damage	No	WRG
3116	Commander Clash 7/8/16	Commander Clash	2	Chromium	N/A	http://tappedout.net/mtg-decks/chromium-commander-clash-7816/?cb=1536788374	3.79	245	37	Combo	Early ManaC/Sol Ring	1	7	79	3	Combat Damage	No	WUB
3116	Commander Clash 7/8/16	Commander Clash	3	Nicol Bolas	N/A	http://tappedout.net/mtg-decks/nicol-bolas-commander-clash-7816/?cb=1536788393	3.87	202	38	Mid-Range	No Early ManaC/Sol Ring	0	6	75	0		Yes	UBR
3116	Commander Clash 7/8/16	Commander Clash	4	Arcades Sabboth	N/A	http://tappedout.net/mtg-decks/arcades-commander-clash-7816/?cb=1536788412	2.98	182	37	Control	No Early ManaC/Sol Ring	0	6	8	3	Combat Damage	No	WUG
3117	Commander Clash 7/1/16	Commander Clash	1	Uril the Miststalker	N/A	http://tappedout.net/mtg-decks/uril-commander-clash-7116/?cb=1536788590	3.26	166	38	Voltron	No Early ManaC/Sol Ring	0	11	50	0		Yes	WRG
3117	Commander Clash 7/1/16	Commander Clash	2	Marrow-Gnawer	N/A	http://tappedout.net/mtg-decks/marrow-gnawer-commander-clash-7116/?cb=1536788607	3.25	495	37	Aggro	Early ManaC/Sol Ring	1	9	55	1	Commander Damage	No	B
3117	Commander Clash 7/1/16	Commander Clash	3	Mangara of Corondor	N/A	http://tappedout.net/mtg-decks/mangara-of-corondor-commander-clash-7116/?cb=1536788631	4.2	276	39	Control	No Early ManaC/Sol Ring	0	8	74	1	Commander Damage	No	W
3117	Commander Clash 7/1/16	Commander Clash	4	Mishra Artificer Prodigy	N/A	http://tappedout.net/mtg-decks/mishra-commander-clash-7116/?cb=1536788647	3.69	325	38	Combo	No Early ManaC/Sol Ring	0	8	71	1	Commander Damage	No	UBR
3118	Commander Clash 6/24/16	Commander Clash	1	Sheoldred Whispering One	N/A	http://tappedout.net/mtg-decks/sheoldred-commander-clash-62416/?cb=1536788885	4.02	235	39	Control	No Early ManaC/Sol Ring	0	12	69	2	Combo	No	B
3118	Commander Clash 6/24/16	Commander Clash	2	Jin-Gitaxias Core Augur	N/A	http://tappedout.net/mtg-decks/jin-gitaxias-commander-clash-62416/?cb=1536788805	3.98	329	38	Combo	No Early ManaC/Sol Ring	0	10	0	0		Yes	U
3118	Commander Clash 6/24/16	Commander Clash	3	Vorinclex Voice of Hunger	N/A	http://tappedout.net/mtg-decks/vorinclex-commander-clash-62416/?cb=1536788821	3.34	337	36	Mid-Range	No Early ManaC/Sol Ring	0	13	65	2	Combo	No	G
3118	Commander Clash 6/24/16	Commander Clash	4	Elesh Norn Grand Cenobite	N/A	http://tappedout.net/mtg-decks/elesh-norn-commander-clash-62416/?cb=1536788840	4.08	233	37	Aggro	No Early ManaC/Sol Ring	0	7	71	2	Combo	No	W
3119	Commander Clash 6/18/16	Commander Clash	1	Shu Yun the Silent Tempest	N/A	http://tappedout.net/mtg-decks/shu-yun-commander-clash-61816/?cb=1536789081	3	176	38	Control	No Early ManaC/Sol Ring	0	5	0	2	Mill	No	WUR
3119	Commander Clash 6/18/16	Commander Clash	2	Tasigur the Golden Fang	N/A	http://tappedout.net/mtg-decks/tasigur-commander-clash-61816/?cb=1536789024	4.02	371	37	Combo	No Early ManaC/Sol Ring	0	8	79	0		Yes	UBG
3119	Commander Clash 6/18/16	Commander Clash	3	Alesha Who Smiles at Death	N/A	http://tappedout.net/mtg-decks/alesha-commander-clash-61816/?cb=1536789040	3.22	104	37	Aggro	Early ManaC/Sol Ring	1	9	65	2	Combat Damage	No	WBR
3119	Commander Clash 6/18/16	Commander Clash	4	Daghatar the Adamant	N/A	http://tappedout.net/mtg-decks/daghatar-commander-clash-61816/?cb=1536789059	3.45	146	38	Aggro	No Early ManaC/Sol Ring	0	8	84	1	Combat Damage	No	WBG
3120	Commander Clash 6/11/16	Commander Clash	1	Volrath the Fallen	N/A	http://tappedout.net/mtg-decks/volrath-commander-clash-61116/?cb=1536789179	4.56	255	39	Voltron	No Early ManaC/Sol Ring	0	6	64	1	Non-Combat non-combo	No	B
3120	Commander Clash 6/11/16	Commander Clash	2	Kangee Aerie Keeper	N/A	http://tappedout.net/mtg-decks/kangee-commander-clash-61116/?cb=1536789191	4.18	114	38	Aggro	No Early ManaC/Sol Ring	0	13	64	3	Combat Damage	No	WU
3120	Commander Clash 6/11/16	Commander Clash	3	Kamahl Fist of Krosa	N/A	http://tappedout.net/mtg-decks/kamahl-commander-clash-61116/?cb=1536789211	4.56	135	37	Mid-Range	No Early ManaC/Sol Ring	0	14	72	0		Yes	G
